INSERT INTO users (email_address, first_name, last_name, phone, address) VALUES ( 0], 'jennifer20@herrera.com'], 'firstName': 'Ashley'], 'Smith'],  '(961)061-3962x2725'], '41084 Morgan Stravenue\nNew Sandrafort, CO 73744']}
( 1], 'crystal72@jones-curtis.com'], 'firstName': 'Kathy'], 'Brown'],  '001-481-402-9416x76549'], '298 Ralph Gateway Apt. 708\nWashingtontown, VA 94632']}
( 2], 'foleyjeff@gmail.com'], 'firstName': 'Mark'], 'Burke'],  '095.834.3299x24503'], '8645 Gonzalez Mountain\nEast Nicholas, AR 87576']}
( 3], 'gwhite@huynh-porter.info'], 'firstName': 'Tyler'], 'Medina'],  '+1-850-051-0797x7981'], '1956 Lopez Parkways\nCunninghamshire, NY 40682']}
( 4], 'cclay@gmail.com'], 'firstName': 'Mary'], 'Henderson'],  '317.491.7963'], '048 Beth Drive Suite 076\nSouth Thomasberg, DE 07832']}
( 5], 'danielhoover@gmail.com'], 'firstName': 'Carol'], 'Duran'],  '(565)429-3895x1177'], 'USCGC Bailey\nFPO AE 44357']}
( 6], 'uweber@hotmail.com'], 'firstName': 'Sabrina'], 'Brown'],  '643.090.9696'], '1744 Terri Mountains\nJennashire, MI 40509']}
( 7], 'kelly39@parks.biz'], 'firstName': 'Stephanie'], 'Young'],  '837.770.8442'], '06133 Martin Knoll Apt. 923\nEast Rickmouth, DE 01260']}
( 8], 'alexperkins@johnson.com'], 'firstName': 'Melissa'], 'Wells'],  '6727743884'], '8019 Perry Valley Suite 082\nTiffanymouth, WV 72622']}
( 9], 'joshua19@hotmail.com'], 'firstName': 'Matthew'], 'Nelson'],  '+1-250-319-5662x1461'], '903 Robert Corners\nCheyennetown, NJ 65825']}
( 10], 'karenfreeman@hotmail.com'], 'firstName': 'Michael'], 'Harris'],  '001-825-749-4329'], '16005 Wright Walk Suite 175\nSouth Christineland, GA 48788']}
( 11], 'tamihenderson@ramirez.com'], 'firstName': 'Sandra'], 'Kelly'],  '001-246-579-4640x190'], '00313 Jared Points Apt. 750\nEast Cassandra, WY 97134']}
( 12], 'ryan08@yahoo.com'], 'firstName': 'Gary'], 'Clark'],  '001-415-234-9620x52962'], '5802 Johnson Fields\nChristieland, SD 43289']}
( 13], 'traceymartin@hotmail.com'], 'firstName': 'Aaron'], 'Monroe'],  '(100)579-5463'], '88078 Howard Ridges Apt. 280\nLake Beth, MD 35306']}
( 14], 'william67@gmail.com'], 'firstName': 'Brandi'], 'Fox'],  '+1-203-819-5684x22325'], '0356 David Place\nLindastad, MD 79140']}
( 15], 'whill@hotmail.com'], 'firstName': 'Teresa'], 'Frank'],  '513.986.4374x35448'], '014 Michael Hollow Suite 971\nBretttown, FL 47402']}
( 16], 'frodriguez@elliott.net'], 'firstName': 'John'], 'Herrera'],  '+1-972-574-0430x05486'], '485 Corey Village\nNew Jessicafurt, NH 29097']}
( 17], 'mosseric@hotmail.com'], 'firstName': 'Hayden'], 'Campbell'],  '(267)123-6262x8721'], '773 Michael Spur Apt. 745\nMatthewshaven, WY 78895']}
( 18], 'jgutierrez@porter-montgomery.biz'], 'firstName': 'Nathaniel'], 'Crosby'],  '712.454.6097x55936'], '01020 Scott Isle\nMendozaport, MI 85285']}
( 19], 'crawfordjohn@gmail.com'], 'firstName': 'Ryan'], 'Nelson'],  '+1-532-584-2723x8541'], '46149 Freeman Fort\nNorth Ashleyville, DE 21976']}
( 20], 'raymaldonado@mcguire-bryant.com'], 'firstName': 'Brent'], 'Brown'],  '+1-044-398-8176x448'], '4939 Hays Crossroad Apt. 846\nNorth Rachelhaven, DE 97616']}
( 21], 'barbarabranch@leblanc.com'], 'firstName': 'Charles'], 'Richardson'],  '754.464.1896x7859'], 'USNS Nelson\nFPO AA 62567']}
( 22], 'michael42@henderson.com'], 'firstName': 'Mary'], 'Martinez'],  '7418862051'], '48895 Tommy Mountain\nRoychester, PA 73637']}
( 23], 'michellephelps@hotmail.com'], 'firstName': 'Yolanda'], 'Bryant'],  '001-282-233-0442x502'], '94519 Harmon Villages\nNorth Frankfurt, AK 96209']}
( 24], 'blynch@robertson.info'], 'firstName': 'Michael'], 'Mays'],  '+1-185-890-6569x550'], 'Unit 9475 Box 0862\nDPO AE 51986']}
( 25], 'larry03@allen-long.biz'], 'firstName': 'Scott'], 'Moore'],  '839.177.1745x27154'], 'PSC 3206, Box 6692\nAPO AP 71477']}
( 26], 'gryan@gmail.com'], 'firstName': 'Kayla'], 'Miles'],  '+1-043-885-3818x048'], '26311 Case Turnpike\nSouth Patriciaville, MD 14636']}
